TURBOVEG_PLOT_NUMBER,PLANT_COMMUNITY_NAME,ELEVATION,ASPECT,SLOPE,COVER_LITTER_LAYER,COVER_OPEN_WATER,COVER_ROCK,COVER_CRUST,COVER_BARE_SOIL,REMARKS
10938,Ass. Festuco brachyphyllae-Potentilletum elegantis,1760,-9999,0,25,0,10,0,1,"Cetraria islandica = original Cetraria islandica reticulata. High elevation ridge, crevice, and ledge vegetation on acid rocks. Small stands occur on ledges and cliffs of the highest peaks (Cooper 1986)."
10939,Ass. Festuco brachyphyllae-Potentilletum elegantis,1790,-9999,0,15,0,30,0,15,"High elevation ridge, crevice, and ledge vegetation on acid rocks. Small stands occur on ledges and cliffs of the highest peaks (Cooper 1986)."
10940,Ass. Festuco brachyphyllae-Potentilletum elegantis,1750,-9999,0,15,0,5,0,5,"High elevation ridge, crevice, and ledge vegetation on acid rocks. Small stands occur on ledges and cliffs of the highest peaks (Cooper 1986)."
10941,Ass. Festuco brachyphyllae-Potentilletum elegantis,1750,-9999,0,10,0,5,0,3,"High elevation ridge, crevice, and ledge vegetation on acid rocks. Small stands occur on ledges and cliffs of the highest peaks (Cooper 1986)."
10942,Ass. Festuco brachyphyllae-Potentilletum elegantis,1760,-9999,0,8,0,20,0,10,"Bryum sp. in seedlings layer = another unidentified Bryum species. High elevation ridge, crevice, and ledge vegetation on acid rocks. Small stands occur on ledges and cliffs of the highest peaks (Cooper 1986)."
10943,Ass. Minuartio macrocarpae-Luzuletum arctuatae,1520,-9999,0,5,0,60,55,2,"High elevation ridge, crevice, and ledge vegetation on acid rocks. Only a few stands were found and all occurred on level plains of high elevation ridgetops where late snow persists (Cooper 1986)."
10944,Ass. Minuartio macrocarpae-Luzuletum arctuatae,1540,-9999,0,5,0,75,30,1,"High elevation ridge, crevice, and ledge vegetation on acid rocks. Only a few stands were found and all occurred on level plains of high elevation ridgetops where late snow persists (Cooper 1986)."
10945,Ass. Minuartio macrocarpae-Luzuletum arctuatae,1550,-9999,0,2,0,65,70,5,"High elevation ridge, crevice, and ledge vegetation on acid rocks. Only a few stands were found and all occurred on level plains of high elevation ridgetops where late snow persists (Cooper 1986)."
10946,Ass. Saxifragetum punctuatae-oppositifoliae,-9999,-9999,-9999,2,0,70,0,30,Vegetation on granitic scree in cirques. Stands occurred on almost totally barren granitic rock and gravel of cold cirques (Cooper 1986).
10947,Ass. Saxifragetum punctuatae-oppositifoliae,975,360,-9999,0,0,95,0,0,Vegetation on granitic scree in cirques. Stands occurred on almost totally barren granitic rock and gravel of cold cirques (Cooper 1986).
10948,Ass. Saxifragetum punctuatae-oppositifoliae,980,315,-9999,0,0,90,0,0,Vegetation on granitic scree in cirques. Stands occurred on almost totally barren granitic rock and gravel of cold cirques (Cooper 1986).
10949,Ass. Saxifragetum punctuatae-oppositifoliae,980,315,-9999,0,0,95,0,0,Vegetation on granitic scree in cirques. Stands occurred on almost totally barren granitic rock and gravel of cold cirques (Cooper 1986).
10950,Ass. Salici phlebophyllae-Vaccinietum uliginosi,1280,-9999,0,35,0,10,0,5,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10951,Ass. Salici phlebophyllae-Vaccinietum uliginosi,-9999,-9999,-9999,20,0,5,0,5,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10952,Ass. Salici phlebophyllae-Vaccinietum uliginosi,1300,-9999,0,60,0,10,0,15,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10953,Ass. Salici phlebophyllae-Vaccinietum uliginosi,1305,-9999,0,25,0,5,0,3,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10954,Ass. Salici phlebophyllae-Vaccinietum uliginosi,1295,-9999,0,35,0,20,0,1,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10955,Ass. Salici phlebophyllae-Vaccinietum uliginosi,1135,-9999,0,20,0,25,0,5,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10956,Ass. Salici phlebophyllae-Vaccinietum uliginosi,1140,-9999,0,30,0,20,0,5,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10957,Ass. Salici phlebophyllae-Vaccinietum uliginosi,1120,-9999,0,0,0,65,0,4,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10958,Ass. Salici phlebophyllae-Vaccinietum uliginosi,1120,-9999,0,35,0,15,0,5,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10959,Ass. Salici phlebophyllae-Vaccinietum uliginosi,1130,-9999,0,35,0,15,0,5,Prostrate vegetation of ridgetops on acidic (Cooper 1986) soils. Ecologically and physiognomically similar to 'fellfields' described from other areas. Stands of this association dominate ridgetops on non-calcareous soils and occupy habitat that appears to be snow-free most often in winter. Soils are skeletal and acidic (Cooper 1986).
10960,Ass. Carici scirpoideae-Vaccinietum uliginosi,1240,-9999,0,85,0,2,0,10,"Cetraria islandica = original Cetraria islandica reticulata. Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10961,Ass. Carici scirpoideae-Vaccinietum uliginosi,-9999,-9999,-9999,1,0,1,0,2,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10962,Ass. Carici scirpoideae-Vaccinietum uliginosi,1000,-9999,0,45,0,7,0,4,"Cladonia aberrans in original (cover 1 percent) - synonym to Cladonia stellaris - merged. Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10963,Ass. Carici scirpoideae-Vaccinietum uliginosi,1005,-9999,0,35,0,2,0,3,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10964,Ass. Carici scirpoideae-Vaccinietum uliginosi,1000,-9999,0,50,0,1,0,2,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10965,Ass. Carici scirpoideae-Vaccinietum uliginosi,1280,90,-9999,85,0,4,0,5,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10966,Ass. Carici scirpoideae-Vaccinietum uliginosi,1100,-9999,0,75,0,20,0,5,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10967,Ass. Carici scirpoideae-Vaccinietum uliginosi,1150,-9999,0,70,0,6,10,10,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10968,Ass. Carici scirpoideae-Vaccinietum uliginosi,1220,135,-9999,65,0,6,0,15,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10969,Ass. Carici scirpoideae-Vaccinietum uliginosi,1225,135,-9999,60,0,8,0,25,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10970,Ass. Carici scirpoideae-Vaccinietum uliginosi,1240,135,-9999,12,0,6,0,65,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10971,Ass. Carici scirpoideae-Vaccinietum uliginosi,1250,180,-9999,60,0,8,0,12,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10972,Ass. Carici scirpoideae-Vaccinietum uliginosi,910,90,-9999,85,0,1,0,1,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10973,Ass. Carici scirpoideae-Vaccinietum uliginosi,920,90,-9999,95,0,3,0,2,"Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Stands on mesic slopes at low to high elevation, best developed on gentle sheltered slopes with  shale parent material but also occurred on dry cobbly, granitic alluvial fans (Cooper 1986)."
10974,Ass. Anemono narcissiflorae-Empetretum nigri,1210,90,-9999,12,0,18,0,0,Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Common in shrub tundra and forest zones of taller plants. Two stands were found in depressions on east-facing slopes where some snow persists until late May (Cooper 1986).
10975,Ass. Anemono narcissiflorae-Empetretum nigri,975,90,-9999,10,0,2,0,1,Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. Common in shrub tundra and forest zones of taller plants. Two stands were found in depressions on east-facing slopes where some snow persists until late May (Cooper 1986).
10976,Ass. Dodecatheo frigidi-Dryadetum octopetalae alaskensis,850,270,-9999,6,0,10,0,10,Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. This association is characterized by an abundance of Dryas octopetala ssp. alaskensis and occurs in valley bottom situations on soil derived primarily from limestone. This moist meadow association has a lush herbaceous species composition and soils profiles consistently had an A-C-A-C zonation indicating frequent debris and mud flow avalanches from upper slopes burying soils (Cooper 1986).
10977,Ass. Dodecatheo frigidi-Dryadetum octopetalae alaskensis,910,315,-9999,85,0,2,0,10,Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. This association is characterized by an abundance of Dryas octopetala ssp. alaskensis and occurs in valley bottom situations on soil derived primarily from limestone. This moist meadow association has a lush herbaceous species composition and soils profiles consistently had an A-C-A-C zonation indicating frequent debris and mud flow avalanches from upper slopes burying soils (Cooper 1986).
10978,Ass. Dodecatheo frigidi-Dryadetum octopetalae alaskensis,870,270,-9999,56,0,0,0,0,Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. This association is characterized by an abundance of Dryas octopetala ssp. alaskensis and occurs in valley bottom situations on soil derived primarily from limestone. This moist meadow association has a lush herbaceous species composition and soils profiles consistently had an A-C-A-C zonation indicating frequent debris and mud flow avalanches from upper slopes burying soils (Cooper 1986).
10979,Ass. Dodecatheo frigidi-Dryadetum octopetalae alaskensis,845,315,-9999,15,0,0,0,0,Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. This association is characterized by an abundance of Dryas octopetala ssp. alaskensis and occurs in valley bottom situations on soil derived primarily from limestone. This moist meadow association has a lush herbaceous species composition and soils profiles consistently had an A-C-A-C zonation indicating frequent debris and mud flow avalanches from upper slopes burying soils (Cooper 1986).
10980,Ass. Dodecatheo frigidi-Dryadetum octopetalae alaskensis,850,315,-9999,43,0,0,0,2,Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. This association is characterized by an abundance of Dryas octopetala ssp. alaskensis and occurs in valley bottom situations on soil derived primarily from limestone. This moist meadow association has a lush herbaceous species composition and soils profiles consistently had an A-C-A-C zonation indicating frequent debris and mud flow avalanches from upper slopes burying soils (Cooper 1986).
10981,Ass. Dodecatheo frigidi-Dryadetum octopetalae alaskensis,860,315,-9999,37,0,0,0,1,Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. This association is characterized by an abundance of Dryas octopetala ssp. alaskensis and occurs in valley bottom situations on soil derived primarily from limestone. This moist meadow association has a lush herbaceous species composition and soils profiles consistently had an A-C-A-C zonation indicating frequent debris and mud flow avalanches from upper slopes burying soils (Cooper 1986).
10982,Ass. Dodecatheo frigidi-Dryadetum octopetalae alaskensis,860,270,-9999,37,0,0,0,1,Dwarf shrub heaths occurring on acid to subneutral soils with early to moderately late melting snow which have dry to moist soils throughout the summer. This association is characterized by an abundance of Dryas octopetala ssp. alaskensis and occurs in valley bottom situations on soil derived primarily from limestone. This moist meadow association has a lush herbaceous species composition and soils profiles consistently had an A-C-A-C zonation indicating frequent debris and mud flow avalanches from upper slopes burying soils (Cooper 1986).
10983,Ass. Salicetum lanatae-alaxensis,1030,315,-9999,75,0,5,0,0,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10984,Ass. Salicetum lanatae-alaxensis,1040,315,-9999,90,0,0,0,2,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10985,Ass. Salicetum lanatae-alaxensis,1050,315,-9999,75,0,7,0,0,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10986,Ass. Salicetum lanatae-alaxensis,1070,315,-9999,80,0,5,0,10,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10987,Ass. Salicetum lanatae-alaxensis,-9999,-9999,-9999,65,0,25,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10988,Ass. Salicetum lanatae-alaxensis,1210,315,-9999,35,0,60,0,10,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10989,Ass. Salicetum lanatae-alaxensis,910,135,-9999,30,0,2,0,1,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10990,Ass. Salicetum lanatae-alaxensis,930,90,-9999,30,0,1,0,1,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10991,Ass. Salicetum lanatae-alaxensis,920,135,-9999,15,0,5,0,1,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10992,Ass. Salicetum lanatae-alaxensis,970,315,-9999,80,0,2,0,3,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10993,Ass. Salicetum lanatae-alaxensis,1000,315,-9999,65,0,5,0,0,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Shrubs of this association form and open layer up to 3 m and ground cover is usually 100 percent. Stands are common on north and west-facing limestone slopes at 800-1200 m where they may cover large areas. Solifluction lobes are prominent and create complex and heterogeneous soils (Cooper 1986)."
10994,Ass. Elymo innovati-Salicetum alaxensis,1020,90,-9999,90,0,0,0,1,"Senecioni lugentis-Salicetum alaxensis - the name used in Cooper (1986) for this releve. Vegetation of mesic, lower limestone slopes with thick soils, high plant cover (Cooper 1986)."
10995,Ass. Elymo innovati-Salicetum alaxensis,910,135,-9999,75,0,15,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
10996,Ass. Elymo innovati-Salicetum alaxensis,910,135,-9999,75,0,4,0,0,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
10997,Ass. Elymo innovati-Salicetum alaxensis,970,135,-9999,85,0,0,0,15,"Cladonia acuminata=in original Cladonia norrlinii. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
10998,Ass. Elymo innovati-Salicetum alaxensis,1090,135,-9999,70,0,20,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
10999,Ass. Elymo innovati-Salicetum alaxensis,1070,180,-9999,60,0,30,0,15,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
11000,Ass. Elymo innovati-Salicetum alaxensis,850,-9999,0,35,0,15,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
11001,Ass. Elymo innovati-Salicetum alaxensis,1060,270,-9999,85,0,0,0,12,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
11002,Ass. Elymo innovati-Salicetum alaxensis,1090,270,-9999,85,0,1,0,10,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
11003,Ass. Elymo innovati-Salicetum alaxensis,910,135,-9999,80,0,10,0,8,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
11004,Ass. Elymo innovati-Salicetum alaxensis,960,135,-9999,85,0,8,0,6,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
11005,Ass. Elymo innovati-Salicetum alaxensis,900,135,-9999,65,0,1,0,25,"Cetraria islandica = original Cetraria islandica reticulata. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
11006,Ass. Elymo innovati-Salicetum alaxensis,950,135,-9999,40,0,1,0,15,"Cetraria islandica in seedlings layer = original Cetraria islandica reticulata. Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
11007,Ass. Elymo innovati-Salicetum alaxensis,940,135,-9999,65,0,1,0,25,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
11008,Ass. Elymo innovati-Salicetum alaxensis,1020,135,-9999,5,0,0,0,25,"Vegetation of mesic, lower limestone slopes with thick soils and high plant cover. Stands of this association are best developed on broad, gentle alluvial fans of limestone sands (Cooper 1986)."
